"locations_name_modern","YEAR","COUNT"
"Frankfurt am Main","1514","1"
"Frankfurt am Main","1516","1"
"Frankfurt am Main","1517","1"
"Frankfurt am Main","1518","2"
"Frankfurt am Main","1519","1"
"Frankfurt am Main","1527","1"
"Frankfurt am Main","1529","1"
"Frankfurt am Main","1530","1"
"Frankfurt am Main","1532","2"
"Frankfurt am Main","1533","1"
"Freiburg im Breisgau","1514","6"
"Freiburg im Breisgau","1515","5"
"Freiburg im Breisgau","1516","2"
"Freiburg im Breisgau","1518","1"
"Freiburg im Breisgau","1520","3"
"Freiburg im Breisgau","1522","1"
"Freiburg im Breisgau","1529","6"
"Freiburg im Breisgau","1530","1"
"Freiburg im Breisgau","1531","2"
"Freiburg im Breisgau","1532","12"
"Freiburg im Breisgau","1533","7"
"Freiburg im Breisgau","1534","1"
"Freiburg im Breisgau","1535","3"
"Ghent","1517","5"
"Ghent","1522","1"
"Ghent","1523","1"
"Ghent","1531","1"
"Ghent","1533","1"
"Cologne","1515","1"
"Cologne","1516","1"
"Cologne","1517","3"
"Cologne","1518","1"
"Cologne","1520","1"
"Cologne","1522","1"
"Cologne","1526","1"
"Cologne","1528","1"
"Cologne","1530","1"
"Cologne","1532","1"
"Cologne","1533","2"
"Cologne","1534","1"
"Cologne","1535","5"
"Cologne","1536","1"
"Konstanz","1517","1"
"Konstanz","1519","1"
"Konstanz","1522","1"
"Konstanz","1523","7"
"Konstanz","1524","5"
"Konstanz","1525","2"
"Konstanz","1526","1"
"Konstanz","1527","1"
"Krakow","1525","1"
"Krakow","1526","1"
"Krakow","1527","2"
"Krakow","1528","1"
"Krakow","1531","2"
"Krakow","1532","2"
"Krakow","1533","3"
"Krakow","1534","1"
"Krakow","1535","2"
"Krakow","1536","2"
"Leipzig","1517","2"
"Leipzig","1519","2"
"Leipzig","1524","2"
"Leipzig","1526","2"
"Leipzig","1530","1"
"Leipzig","1531","1"
"Leipzig","1536","1"
"Leuven","1514","1"
"Leuven","1515","1"
"Leuven","1516","4"
"Leuven","1517","4"
"Leuven","1518","2"
"Leuven","1519","4"
"Leuven","1520","2"
"Leuven","1521","1"
"Leuven","1522","6"
"Leuven","1523","1"
"Leuven","1525","1"
"Leuven","1526","3"
"Leuven","1527","10"
"Leuven","1528","7"
"Leuven","1529","1"
"Leuven","1530","5"
"Leuven","1531","1"
"Leuven","1533","1"
"Leuven","1535","3"
"Leuven","1536","1"
"London","1511","10"
"London","1512","1"
"London","1513","1"
"London","1514","2"
"London","1516","14"
"London","1517","8"
"London","1518","1"
"London","1519","1"
"London","1523","2"
"London","1524","1"
"London","1525","1"
"London","1526","2"
"London","1527","1"
"London","1528","2"
"London","1529","3"
"London","1531","1"
"London","1532","1"
"London","1533","1"
"London","1535","1"
"London","1536","1"
"Mechelen","1511","1"
"Mechelen","1516","1"
"Mechelen","1522","1"
"Mechelen","1523","2"
"Mechelen","1524","2"
"Mechelen","1527","1"
"Mechelen","1529","1"
"Mechelen","1534","1"
"Nuremberg","1515","3"
"Nuremberg","1516","1"
"Nuremberg","1517","4"
"Nuremberg","1520","1"
"Nuremberg","1522","2"
"Nuremberg","1523","2"
"Nuremberg","1524","2"
"Nuremberg","1527","1"
"Nuremberg","1528","1"
"Nuremberg","1529","1"
"Nuremberg","1531","1"
"Nuremberg","1536","1"
"Padua","1525","5"
"Padua","1526","1"
"Padua","1529","1"
"Padua","1531","1"
"Padua","1532","8"
"Padua","1533","5"
"Padua","1534","1"
"Padua","1535","2"
"Padua","1536","1"
"Paris","1495","3"
"Paris","1498","1"
"Paris","1499","3"
"Paris","1500","1"
"Paris","1505","1"
"Paris","1512","2"
"Paris","1515","1"
"Paris","1516","10"
"Paris","1517","9"
"Paris","1518","3"
"Paris","1519","9"
"Paris","1522","1"
"Paris","1523","1"
"Paris","1524","2"
"Paris","1525","3"
"Paris","1526","2"
"Paris","1527","4"
"Paris","1528","4"
"Paris","1531","1"
"Paris","1532","2"
"Paris","1535","1"
"Paris","1536","1"
"Regensburg","1531","1"
"Regensburg","1532","10"
"Rome","1506","1"
"Rome","1509","1"
"Rome","1515","2"
"Rome","1517","3"
"Rome","1518","2"
"Rome","1521","2"
"Rome","1522","4"
"Rome","1523","1"
"Rome","1524","4"
"Rome","1525","2"
"Rome","1532","3"
"Rome","1533","1"
"Rome","1534","4"
"Rome","1535","8"
"Rome","1536","2"
"Sélestat","1515","4"
"Sélestat","1516","2"
"Sélestat","1520","1"
"Sélestat","1521","1"
"Sélestat","1524","1"
"Sélestat","1525","1"
"Sélestat","1531","1"
"Speyer","1515","1"
"Speyer","1522","1"
"Speyer","1526","4"
"Speyer","1527","1"
"Speyer","1528","1"
"Speyer","1529","3"
"Speyer","1531","2"
"Speyer","1535","3"
"Speyer","1536","2"
"Strasbourg","1511","1"
"Strasbourg","1514","1"
"Strasbourg","1515","6"
"Strasbourg","1516","1"
"Strasbourg","1517","1"
"Strasbourg","1523","4"
"Strasbourg","1525","1"
"Strasbourg","1528","1"
"Strasbourg","1529","1"
"Strasbourg","1530","1"
"Strasbourg","1531","2"
"Strasbourg","1535","3"
"Strasbourg","1536","1"
"Tournai","1515","1"
"Tournai","1516","1"
"Tournai","1517","1"
"Tournai","1518","1"
"Tournai","1529","1"
"Tournai","1530","2"
"Tournai","1533","2"
"Vienna","1522","1"
"Vienna","1524","1"
"Vienna","1525","1"
"Vienna","1527","1"
"Vienna","1531","2"
"Vienna","1533","4"
"Vienna","1535","1"
